task,model_type,offset,label,performance_name,performance_result,performance_confidence_criterion,performance_is_significant,performance_higher_is_better
binary_classification,sequence,7,ema_SLEEPING,balanced_accuracy,0.6429367201426025,0.5701748412433156,True,True
binary_classification,sequence,7,ema_SOCIAL,balanced_accuracy,0.6633834929320566,0.5681424561103512,True,True
binary_classification,sequence,7,ema_THINK,balanced_accuracy,0.7006053434072186,0.573894167311456,True,True
binary_classification,sequence,7,ema_DEPRESSED,balanced_accuracy,0.6763149704326175,0.5824134375972612,True,True
binary_classification,sequence,7,ema_HARM,balanced_accuracy,0.6097781943142768,0.581732778819119,True,True
binary_classification,sequence,7,ema_SEEING_THINGS,balanced_accuracy,0.5962677513737243,0.5690146649539713,True,True
binary_classification,sequence,7,ema_STRESSED,balanced_accuracy,0.7117141853007073,0.5757672264200677,True,True
binary_classification,sequence,7,ema_VOICES,balanced_accuracy,0.5400621118012422,0.5717133799171843,False,True
ordinal_regression,tabular,0,ema_CALM,mamae,0.7670023090290177,1.1016511251415513,True,False
ordinal_regression,tabular,0,ema_HOPEFUL,mamae,0.8371347854569278,1.1473225499801132,True,False
ordinal_regression,tabular,0,ema_SLEEPING,mamae,0.9433730566278288,1.0696459432659275,True,False
ordinal_regression,tabular,0,ema_SOCIAL,mamae,0.817279136200435,1.058269968813062,True,False
ordinal_regression,tabular,0,ema_THINK,mamae,0.9194299389281548,1.0703182833836549,True,False
ordinal_regression,tabular,0,ema_DEPRESSED,mamae,0.9109394183142119,1.1601062974499057,True,False
ordinal_regression,tabular,0,ema_HARM,mamae,1.1544641467605516,1.1870224830119134,True,False
ordinal_regression,tabular,0,ema_SEEING_THINGS,mamae,1.1309782608695653,1.2572289402173913,True,False
ordinal_regression,tabular,0,ema_STRESSED,mamae,0.8612399038672578,1.1053142281690724,True,False
ordinal_regression,tabular,0,ema_VOICES,mamae,1.1395569910207073,1.250589133414269,True,False
ordinal_regression,tabular,1,ema_CALM,mamae,0.7843340546760127,1.0515489120377364,True,False
ordinal_regression,tabular,1,ema_HOPEFUL,mamae,0.8696361449886536,1.1340401476498827,True,False
ordinal_regression,tabular,1,ema_SLEEPING,mamae,0.9597818894431437,1.0876502905368475,True,False
ordinal_regression,tabular,1,ema_SOCIAL,mamae,0.7980222100564828,1.0669192839753692,True,False
ordinal_regression,tabular,1,ema_THINK,mamae,0.8969991659084015,1.0589697240044325,True,False
ordinal_regression,tabular,1,ema_DEPRESSED,mamae,0.9667463707994289,1.1169723605199149,True,False
ordinal_regression,tabular,1,ema_HARM,mamae,1.1925876202824321,1.2106284415243276,True,False
ordinal_regression,tabular,1,ema_SEEING_THINGS,mamae,1.1865683421896178,1.223308484419035,True,False
ordinal_regression,tabular,1,ema_STRESSED,mamae,0.9526444819548268,1.126997915787517,True,False
ordinal_regression,tabular,1,ema_VOICES,mamae,1.2229707669753895,1.2113816602208178,False,False
ordinal_regression,tabular,7,ema_CALM,mamae,0.8116879657355056,1.0793662867115432,True,False
ordinal_regression,tabular,7,ema_HOPEFUL,mamae,0.9590860329460291,1.15666146248057,True,False
ordinal_regression,tabular,7,ema_SLEEPING,mamae,0.9036249923166759,1.0862012781209662,True,False
ordinal_regression,tabular,7,ema_SOCIAL,mamae,0.8415388756694923,1.0548588785675017,True,False
ordinal_regression,tabular,7,ema_THINK,mamae,0.9331703909016047,1.0594394239657066,True,False
ordinal_regression,tabular,7,ema_DEPRESSED,mamae,1.031970169505041,1.1423091662635494,True,False
ordinal_regression,tabular,7,ema_HARM,mamae,1.2102001446829034,1.1580474112812476,False,False
ordinal_regression,tabular,7,ema_SEEING_THINGS,mamae,1.1664079162931595,1.2367533074711756,True,False
ordinal_regression,tabular,7,ema_STRESSED,mamae,0.8900226875986417,1.0870101148877278,True,False
ordinal_regression,tabular,7,ema_VOICES,mamae,1.2225852721339088,1.2094479184486524,False,False
ordinal_regression,sequence,0,ema_CALM,mamae,0.9456821327402631,1.1016511251415513,True,False
ordinal_regression,sequence,0,ema_HOPEFUL,mamae,1.0837725968212375,1.1473225499801132,True,False
ordinal_regression,sequence,0,ema_SLEEPING,mamae,1.0385823564826293,1.0696459432659275,True,False
ordinal_regression,sequence,0,ema_SOCIAL,mamae,0.8134456849333018,1.058269968813062,True,False
ordinal_regression,sequence,0,ema_THINK,mamae,1.013318236922162,1.0703182833836549,True,False
ordinal_regression,sequence,0,ema_DEPRESSED,mamae,1.1309728540676822,1.1601062974499057,True,False
ordinal_regression,sequence,0,ema_HARM,mamae,1.2873547337964066,1.1870224830119134,False,False
ordinal_regression,sequence,0,ema_SEEING_THINGS,mamae,1.2692028985507247,1.2572289402173913,False,False
ordinal_regression,sequence,0,ema_STRESSED,mamae,1.0212010948973769,1.1053142281690724,True,False
ordinal_regression,sequence,0,ema_VOICES,mamae,1.2767798240791643,1.250589133414269,False,False
ordinal_regression,sequence,1,ema_CALM,mamae,0.9361381352347574,1.0515489120377364,True,False
ordinal_regression,sequence,1,ema_HOPEFUL,mamae,1.0943724702329003,1.1340401476498827,True,False
ordinal_regression,sequence,1,ema_SLEEPING,mamae,1.0467382794510454,1.0876502905368475,True,False
ordinal_regression,sequence,1,ema_SOCIAL,mamae,0.8587033372380877,1.0669192839753692,True,False
ordinal_regression,sequence,1,ema_THINK,mamae,1.084045499352028,1.0589697240044325,False,False
ordinal_regression,sequence,1,ema_DEPRESSED,mamae,1.219084609200674,1.1169723605199149,False,False
ordinal_regression,sequence,1,ema_HARM,mamae,1.2689511380861112,1.2106284415243276,False,False
ordinal_regression,sequence,1,ema_SEEING_THINGS,mamae,1.2848369296301874,1.223308484419035,False,False
ordinal_regression,sequence,1,ema_STRESSED,mamae,1.0228001165501164,1.126997915787517,True,False
ordinal_regression,sequence,1,ema_VOICES,mamae,1.351500924857008,1.2113816602208178,False,False
ordinal_regression,sequence,7,ema_CALM,mamae,1.026005147888459,1.0793662867115432,True,False
ordinal_regression,sequence,7,ema_HOPEFUL,mamae,1.1395767263563656,1.15666146248057,True,False
ordinal_regression,sequence,7,ema_SLEEPING,mamae,1.0675471756100559,1.0862012781209662,True,False
ordinal_regression,sequence,7,ema_SOCIAL,mamae,0.8976889863144538,1.0548588785675017,True,False
ordinal_regression,sequence,7,ema_THINK,mamae,1.0422101299991473,1.0594394239657066,True,False
ordinal_regression,sequence,7,ema_DEPRESSED,mamae,1.1653363946716553,1.1423091662635494,False,False
ordinal_regression,sequence,7,ema_HARM,mamae,1.3138935776866811,1.1580474112812476,False,False
ordinal_regression,sequence,7,ema_SEEING_THINGS,mamae,1.3268747488485673,1.2367533074711756,False,False
ordinal_regression,sequence,7,ema_STRESSED,mamae,1.0449141219092257,1.0870101148877278,True,False
ordinal_regression,sequence,7,ema_VOICES,mamae,1.3640479699617503,1.2094479184486524,False,False
binary_classification,tabular,0,ema_CALM,accuracy,0.7442396313364056,0.5748756740724763,True,True
binary_classification,tabular,0,ema_HOPEFUL,accuracy,0.6774193548387096,0.571425113653262,True,True
binary_classification,tabular,0,ema_SLEEPING,accuracy,0.6981566820276498,0.5881981099395962,True,True
binary_classification,tabular,0,ema_SOCIAL,accuracy,0.6566820276497696,0.5701570664620995,True,True
binary_classification,tabular,0,ema_THINK,accuracy,0.7258064516129032,0.5747727060388227,True,True
binary_classification,tabular,0,ema_DEPRESSED,accuracy,0.716589861751152,0.5708367870376321,True,True
binary_classification,tabular,0,ema_HARM,accuracy,0.8110599078341014,0.5729081813576494,True,True
binary_classification,tabular,0,ema_SEEING_THINGS,accuracy,0.8341013824884793,0.5773482128317864,True,True
binary_classification,tabular,0,ema_STRESSED,accuracy,0.7350230414746544,0.5782416400850612,True,True
binary_classification,tabular,0,ema_VOICES,accuracy,0.7788018433179723,0.5695904322774515,True,True
binary_classification,tabular,1,ema_CALM,accuracy,0.7304147465437788,0.5732889074633305,True,True
binary_classification,tabular,1,ema_HOPEFUL,accuracy,0.6543778801843319,0.5753267132963695,True,True
binary_classification,tabular,1,ema_SLEEPING,accuracy,0.6751152073732719,0.5851471955544024,True,True
binary_classification,tabular,1,ema_SOCIAL,accuracy,0.6497695852534562,0.5853023061497329,True,True
binary_classification,tabular,1,ema_THINK,accuracy,0.7350230414746544,0.5735921808932347,True,True
binary_classification,tabular,1,ema_DEPRESSED,accuracy,0.6889400921658986,0.5674557813302518,True,True
binary_classification,tabular,1,ema_HARM,accuracy,0.8225806451612904,0.5694534126208007,True,True
binary_classification,tabular,1,ema_SEEING_THINGS,accuracy,0.836405529953917,0.5717922319121449,True,True
